"","lat","lng","class","info","height"
"1",21.865,36.50916,"Green","Jabal Asoteriba (new) - 2180m",2180
"2",20.74583,36.84083,"Green","Jabal Erba (new) - 2218m",2218
"3",-33.97583,-69.88166,"Yellow","Cerro Castillo - 5468m",5468
"4",57.24111,-131.1675,"Green","Scud Peak - 2987m",2987
"5",36.95055,74.83583,"Orange","Mintaka Sar - 6407m",6407
"6",54.14305,-120.57416,"Green","Mt. Ovington - 2949m",2949
"7",41.68944,78.975,"Yellow","Pt. 5318 - 5318m",5318
"8",58.06972,-125.70111,"Green","Gataga Peak - 2533m",2533
"9",36.25583,117.10555,"LightGreen","Tai Shan - 1545m",1545
"10",30.01555,66.82805,"DeepGreen","Chiltan - 3313m",3313
"11",34.22972,74.02833,"Blue","Pt. 4398 - 4398m",4398
"12",35.92833,75.8225,"Red","Latok I - 7145m",7145
"13",28.10416,89.545,"Orange","Kangcheda I - 6678m",6678
"14",27.71166,88.31833,"Orange","Siniolchu - 6887m",6887
"15",35.5425,101.5025,"Yellow","Pt. 5000� - 5000m",5000
"16",37.92527,75.87694,"Yellow","Pt. 5110� - 5110m",5110
"17",29.83333,94.86666,"Orange","Tiba Kangri - 6846m",6846
"18",36.41472,82.315,"Orange","Pt. 6120� - 6120m",6120
"19",27.77194,87.10333,"Orange","Tutse - 6758m",6758
"20",20.93333,-100.18333,"DeepGreen","Cerro el Zamorano - 3370m",3370
"21",31.59611,83.44277,"Orange","Kuhanbo Kang I - 6600m",6600
"22",56.88555,-130.58,"Green","Faisal Peak - 2239m",2239
"23",-3.07583,37.35166,"Yellow","Kilimanjaro - 5895m",5895
"24",13.23666,38.3725,"Blue","Ras Dejen - 4533m",4533
"25",0.38416,29.87333,"Yellow","Ngaliema - 5109m",5109
"26",4.2175,9.17166,"Blue","Mt. Cameroon - 4040m",4040
"27",-0.15083,37.3075,"Yellow","Mt. Kenya - 5199m",5199
"28",31.06194,-7.91611,"Blue","Jebel Toubkal - 4167m",4167
"29",-1.50444,29.45055,"Blue","Volc�n Karisimbi - 4507m",4507
"30",-3.24666,36.74833,"Blue","Mt. Meru - 4565m",4565
"31",-21.09555,55.48027,"DeepGreen","Piton des Neiges - 3069m",3069
"32",3.58333,8.76666,"DeepGreen","Pico Basil� - 3011m",3011
"33",19.79166,18.55,"DeepGreen","Emi Koussi - 3415m",3415
"34",-14.02333,48.96583,"Green","Maromokotro  - 2876m",2876
"35",6.82583,39.8175,"Blue","Sante YeTerara Ch'af - 4400m",4400
"36",6.20166,10.5175,"DeepGreen","Mt. Oku - 3011m",3011
"37",12.93333,24.2275,"DeepGreen","Jebel Marra - 3042m",3042
"38",1.11833,34.525,"Blue","Mt. Elgon - 4321m",4321
"39",-29.46833,29.26916,"DeepGreen","Thabana Ntlenyana - 3482m",3482
"40",-11.75666,43.36166,"Green","Le Kartala - 2361m",2361
"41",23.28888,5.53416,"Green","Tahat - 2908m",2908
"42",-15.95,35.59083,"DeepGreen","Sapitwa Peak - 3002m",3002
"43",14.95083,-24.34333,"Green","Pico de Fogo - 2829m",2829
"44",10.71333,37.84833,"Blue","Ch'ok'e Terara - 4100m",4100
"45",6.10583,36.7425,"DeepGreen","Argun - 3418m",3418
"46",-7.0925,37.61833,"Green","Kimhandu - 2653m",2653
"47",3.94583,32.91,"DeepGreen","Kinyeti  - 3187m",3187
"48",-0.31166,36.61416,"Blue","Oldoinyo Lesatima - 4001m",4001
"49",10.95166,39.10333,"Blue","Amba Farit - 4270m",4270
"50",-4.435,35.4,"DeepGreen","Mt. Hanang - 3420m",3420
"51",6.1975,37.38083,"DeepGreen","Guge - 3568m",3568
"52",-3.05,35.81916,"DeepGreen","Loolmalassin - 3682m",3682
"53",0.26972,6.54166,"Green","Pico de S�o Tom� - 2024m",2024
"54",17.03333,-25.29583,"LightGreen","Tope de Coroa  - 1979m",1979
"55",-2.61333,36.10333,"Green","Gelai Peak - 2948m",2948
"56",12.14083,39.18166,"Blue","Abune Yosef - 4260m",4260
"57",31.50833,-6.44333,"Blue","Ighil M'Goun - 4071m",4071
"58",34.84055,-4.51722,"Green","Koudiet Tirbirhine - 2456m",2456
"59",13.39083,41.7275,"Green","Ramlo - 2248m",2248
"60",-22.195,46.885,"Green","Pic Boby - 2658m",2658
"61",2.525,34.7725,"DeepGreen","Moroto - 3083m",3083
"62",-2.89333,36.22916,"Green","Kitumbeine Hill - 2858m",2858
"63",-21.14916,14.5775,"Green","K�nigstein - 2606m",2606
"64",-15.3575,37.065,"Green","Serra Namuli - 2436m",2436
"65",1.65916,35.3825,"DeepGreen","Chepunyal Hills - 3334m",3334
"66",-4.2675,37.93166,"Green","Shengena - 2464m",2464
"67",26.97916,33.4875,"Green","Jebel Shayib al Banat - 2187m",2187
"68",8.8775,34.81166,"DeepGreen","Tulu Welel - 3301m",3301
"69",-33.755,19.18666,"LightGreen","Dutoitspiek - 1995m",1995
"70",4.19583,33.13,"Green","Emogadong - 2623m",2623
"71",-4.72694,38.22972,"Green","Sungwi - 2300m",2300
"72",36.4475,4.22833,"Green","Lalla Khedidja - 2308m",2308
"73",6.2325,36.2975,"Green","Mt. Smith - 2560m",2560
"74",1.7625,34.70916,"DeepGreen","Kadam - 3063m",3063
"75",-9.07833,34.02083,"Green","Mtorwi - 2980m",2980
"76",9.2275,-11.11555,"LightGreen","Bintimani - 1945m",1945
"77",-19.34916,47.24333,"Green","Tsiafajavona - 2643m",2643
"78",7.14916,36.54416,"DeepGreen","Aggio - 3358m",3358
"79",33.56833,-3.88583,"DeepGreen","Adrar Bou Nasser - 3340m",3340
"80",35.31833,6.6375,"Green","Djebel Ch�lia - 2328m",2328
"81",-13.78583,13.17583,"Green","Mt. Tama - 2489m",2489
"82",11.47416,36.19416,"Green","Belaya - 2731m",2731
"83",6.55,36.72583,"DeepGreen","Argun North - 3405m",3405
"84",7.90944,39.39277,"Blue","K'ech'a Terara - 4195m",4195
"85",30.96333,-8.44333,"DeepGreen","Jebel Igdet - 3615m",3615
"86",12.46888,42.40388,"Green","Moussa Ali - 2021m",2021
"87",-5.1375,29.05166,"Green","Kabobo - 2725m",2725
"88",11.32611,49.74833,"Green","Karkoor - 2120m",2120
"89",-12.215,44.425,"LightGreen","Ntingui�  - 1595m",1595
"90",-2.95305,28.78527,"DeepGreen","Mont Mohi - 3480m",3480
"91",13.51777,44.05222,"DeepGreen","Jabal Sabir - 3006m",3006
"92",7.49111,37.20611,"DeepGreen","Mai Gudo - 3359m",3359
"93",21.04083,16.47333,"DeepGreen","Pic Toussid� - 3315m",3315
"94",-0.1425,29.42416,"DeepGreen","Wuhevi - 3095m",3095
"95",12.85888,39.4975,"DeepGreen","Dubbai - 3950m",3950
"96",2.73027,36.92611,"Green","Mt. Kulal - 2285m",2285
"97",-33.39833,21.3675,"Green","Seweweekspoortpiek - 2325m",2325
"98",3.36083,8.53916,"Green","Gran Caldera de Luba - 2261m",2261
"99",-1.38305,29.6775,"Blue","Muhavura - 4127m",4127
